1;2;1,83088
2;3;1,369368
3;4;0,707449
4;15;1,432809
4;5;2,321052
15;32;3
32;33;0,535824
32;31;1,661521
31;30;0,5476
30;29;0,349281
29;28;0,293331
28;27;3
27;26;0,140175
26;25;0,038652
25;24;1,089936
24;23;1,0609
23;22;0,50609
22;21;0,035044
21;41;0,041209
41;42;0,08077
42;43;1,121481
21;20;3
20;19;0,145237
19;18;0,133956
18;38;0,203581
18;17;0,243049
17;16;0,008501
17;34;0,026896
38;39;0,806404
39;40;0,802816
34;35;2,262618
35;36;0,16769
36;37;0,502539
43;44;3
44;45;0,257556
45;46;0,949455
46;47;0,09641
47;48;0,116281
48;55;3
55;54;0,035044
55;56;0,50609
54;53;0,670761
53;52;0,145237
52;51;0,133956
51;50;0,243049
50;49;0,008501
56;57;1,0609
57;58;1,089936
58;59;0,038652
59;60;0,140175
60;61;3
61;62;0,293331
62;63;0,292681
63;64;0,556964
64;65;1,661521
65;66;0,535824
66;13;3
3;11;3,22382
2;9;4,052974
9;10;2,844957
13;12;4,052974
4;14;4,976469
2;6;6,540295
6;7;1,184179
6;8;1,566002
2;1;1,83088
3;2;1,369368
4;3;0,707449
15;4;1,432809
5;4;2,321052
32;15;3
33;32;0,535824
31;32;1,661521
30;31;0,5476
29;30;0,349281
28;29;0,293331
27;28;3
26;27;0,140175
25;26;0,038652
24;25;1,089936
23;24;1,0609
11;3;3,22382
9;2;4,052974
10;9;2,844957
14;4;4,976469
6;2;6,540295
7;6;1,184179
8;6;1,566002
17;16;0,008501
34;17;0,026896
18;17;0,243049
19;18;0,133956
20;19;0,145237
38;18;0,203581
39;38;0,806404
40;39;0,802816
35;34;2,262618
36;35;0,16769
37;36;0,502539
21;20;3
22;21;0,035044
41;21;0,041209
42;41;0,08077
43;42;1,121481
44;43;3
45;44;0,257556
46;45;0,949455
47;46;0,09641
50;49;0,008501
51;50;0,243049
52;51;0,133956
53;52;0,145237
54;53;0,670761
55;54;0,035044
56;55;0,50609
57;56;1,0609
58;57;1,089936
59;58;0,038652
60;59;0,140175
61;60;3
62;61;0,293331
63;62;0,292681
64;63;0,556964
65;64;1,661521
66;65;0,535824
13;66;3
48;55;3
12;13;4,052974
