2;6;6,540295
4;14;4,976469
2;9;4,052974
12;13;4,052974
3;11;3,22382
20;21;3
27;28;3
43;44;3
60;61;3
15;32;3
13;66;3
9;10;2,844957
4;5;2,321052
34;35;2,262618
1;2;1,83088
31;32;1,661521
64;65;1,661521
6;8;1,566002
4;15;1,432809
2;3;1,369368
6;7;1,184179
42;43;1,121481
24;25;1,089936
57;58;1,089936
23;24;1,0609
56;57;1,0609
45;46;0,949455
38;39;0,806404
39;40;0,802816
3;4;0,707449
53;54;0,670761
63;64;0,556964
30;31;0,5476
32;33;0,535824
65;66;0,535824
22;23;0,50609
55;56;0,50609
36;37;0,502539
29;30;0,349281
28;29;0,293331
61;62;0,293331
62;63;0,292681
44;45;0,257556
17;18;0,243049
50;51;0,243049
18;38;0,203581
35;36;0,16769
19;20;0,145237
52;53;0,145237
59;60;0,140175
18;19;0,133956
51;52;0,133956
47;48;0,116281
46;47;0,09641
41;42;0,08077
21;41;0,041209
25;26;0,038652
58;59;0,038652
21;22;0,035044
54;55;0,035044
17;34;0,026896
16;17;0,008501
49;50;0,008501
